algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
standard_quicksort,random,100,18.80,14990.00
standard_mergesort,random,100,24.40,597.00
ternary_string_quicksort,random,100,4.40,1061.00
lcp_mergesort,random,100,40.80,519.00
msd_radix_sort,random,100,40.80,171.00
msd_radix_sort_with_quicksort,random,100,12.80,251.00
standard_quicksort,random,200,34.00,27671.00
standard_mergesort,random,200,58.20,1482.00
ternary_string_quicksort,random,200,11.00,2559.00
lcp_mergesort,random,200,84.10,1175.00
msd_radix_sort,random,200,93.80,398.00
msd_radix_sort_with_quicksort,random,200,25.10,689.00
standard_quicksort,random,300,55.00,42404.00
standard_mergesort,random,300,130.80,2508.00
ternary_string_quicksort,random,300,15.50,4017.00
lcp_mergesort,random,300,142.40,1912.00
msd_radix_sort,random,300,128.80,618.00
msd_radix_sort_with_quicksort,random,300,40.00,1310.00
standard_quicksort,random,400,76.60,61545.00
standard_mergesort,random,400,139.30,3678.00
ternary_string_quicksort,random,400,26.40,5756.00
lcp_mergesort,random,400,258.10,2729.00
msd_radix_sort,random,400,155.90,835.00
msd_radix_sort_with_quicksort,random,400,51.10,1954.00
standard_quicksort,random,500,99.60,74296.00
standard_mergesort,random,500,230.30,4864.00
ternary_string_quicksort,random,500,28.90,7715.00
lcp_mergesort,random,500,272.70,3522.00
msd_radix_sort,random,500,185.80,1048.00
msd_radix_sort_with_quicksort,random,500,61.60,2696.00
standard_quicksort,random,600,118.00,87531.00
standard_mergesort,random,600,250.40,6100.00
ternary_string_quicksort,random,600,33.50,8201.00
lcp_mergesort,random,600,343.00,4361.00
msd_radix_sort,random,600,223.30,1269.00
msd_radix_sort_with_quicksort,random,600,76.90,3366.00
standard_quicksort,random,700,145.40,106146.00
standard_mergesort,random,700,329.30,7443.00
ternary_string_quicksort,random,700,45.10,10486.00
lcp_mergesort,random,700,462.30,5235.00
msd_radix_sort,random,700,269.70,1498.00
msd_radix_sort_with_quicksort,random,700,86.50,4174.00
standard_quicksort,random,800,169.60,120731.00
standard_mergesort,random,800,376.90,8798.00
ternary_string_quicksort,random,800,50.90,13732.00
lcp_mergesort,random,800,487.60,6141.00
