algorithm,data_type,array_size,run_id,time_us,char_comparisons
standard_quicksort,random,100,1,23,14990
standard_quicksort,random,100,2,18,14990
standard_quicksort,random,100,3,16,14990
standard_quicksort,random,100,4,16,14990
standard_quicksort,random,100,5,29,14990
standard_quicksort,random,100,6,18,14990
standard_quicksort,random,100,7,16,14990
standard_quicksort,random,100,8,18,14990
standard_quicksort,random,100,9,17,14990
standard_quicksort,random,100,10,17,14990
standard_mergesort,random,100,1,37,597
standard_mergesort,random,100,2,30,597
standard_mergesort,random,100,3,24,597
standard_mergesort,random,100,4,23,597
standard_mergesort,random,100,5,22,597
standard_mergesort,random,100,6,22,597
standard_mergesort,random,100,7,22,597
standard_mergesort,random,100,8,21,597
standard_mergesort,random,100,9,22,597
standard_mergesort,random,100,10,21,597
ternary_string_quicksort,random,100,1,9,1061
ternary_string_quicksort,random,100,2,5,1061
ternary_string_quicksort,random,100,3,4,1061
ternary_string_quicksort,random,100,4,4,1061
ternary_string_quicksort,random,100,5,3,1061
ternary_string_quicksort,random,100,6,4,1061
ternary_string_quicksort,random,100,7,3,1061
ternary_string_quicksort,random,100,8,4,1061
ternary_string_quicksort,random,100,9,4,1061
ternary_string_quicksort,random,100,10,4,1061
lcp_mergesort,random,100,1,48,519
lcp_mergesort,random,100,2,45,519
lcp_mergesort,random,100,3,41,519
lcp_mergesort,random,100,4,40,519
lcp_mergesort,random,100,5,34,519
lcp_mergesort,random,100,6,39,519
lcp_mergesort,random,100,7,37,519
lcp_mergesort,random,100,8,36,519
lcp_mergesort,random,100,9,35,519
lcp_mergesort,random,100,10,53,519
msd_radix_sort,random,100,1,46,171
msd_radix_sort,random,100,2,42,171
msd_radix_sort,random,100,3,39,171
msd_radix_sort,random,100,4,49,171
msd_radix_sort,random,100,5,37,171
msd_radix_sort,random,100,6,42,171
msd_radix_sort,random,100,7,36,171
msd_radix_sort,random,100,8,36,171
msd_radix_sort,random,100,9,45,171
msd_radix_sort,random,100,10,36,171
msd_radix_sort_with_quicksort,random,100,1,16,251
msd_radix_sort_with_quicksort,random,100,2,14,251
msd_radix_sort_with_quicksort,random,100,3,13,251
msd_radix_sort_with_quicksort,random,100,4,13,251
msd_radix_sort_with_quicksort,random,100,5,11,251
msd_radix_sort_with_quicksort,random,100,6,13,251
msd_radix_sort_with_quicksort,random,100,7,11,251
msd_radix_sort_with_quicksort,random,100,8,13,251
msd_radix_sort_with_quicksort,random,100,9,11,251
msd_radix_sort_with_quicksort,random,100,10,13,251
standard_quicksort,random,200,1,43,27671
standard_quicksort,random,200,2,37,27671
standard_quicksort,random,200,3,32,27671
standard_quicksort,random,200,4,32,27671
standard_quicksort,random,200,5,34,27671
standard_quicksort,random,200,6,40,27671
standard_quicksort,random,200,7,32,27671
standard_quicksort,random,200,8,30,27671
standard_quicksort,random,200,9,30,27671
standard_quicksort,random,200,10,30,27671
standard_mergesort,random,200,1,80,1482
standard_mergesort,random,200,2,73,1482
standard_mergesort,random,200,3,58,1482
standard_mergesort,random,200,4,61,1482
standard_mergesort,random,200,5,54,1482
standard_mergesort,random,200,6,51,1482
standard_mergesort,random,200,7,54,1482
standard_mergesort,random,200,8,48,1482
standard_mergesort,random,200,9,49,1482
standard_mergesort,random,200,10,54,1482
ternary_string_quicksort,random,200,1,17,2559
ternary_string_quicksort,random,200,2,11,2559
ternary_string_quicksort,random,200,3,23,2559
ternary_string_quicksort,random,200,4,8,2559
ternary_string_quicksort,random,200,5,8,2559
ternary_string_quicksort,random,200,6,9,2559
ternary_string_quicksort,random,200,7,9,2559
ternary_string_quicksort,random,200,8,8,2559
ternary_string_quicksort,random,200,9,8,2559
ternary_string_quicksort,random,200,10,9,2559
lcp_mergesort,random,200,1,98,1175
lcp_mergesort,random,200,2,90,1175
lcp_mergesort,random,200,3,83,1175
lcp_mergesort,random,200,4,86,1175
lcp_mergesort,random,200,5,84,1175
lcp_mergesort,random,200,6,77,1175
lcp_mergesort,random,200,7,77,1175
lcp_mergesort,random,200,8,74,1175
lcp_mergesort,random,200,9,93,1175
lcp_mergesort,random,200,10,79,1175
