algorithm,data_type,array_size,avg_time_us,avg_char_comparisons
standard_quicksort,random,100,13.30,14990.00
standard_quicksort,random,200,25.20,27671.00
standard_quicksort,random,300,41.80,42404.00
standard_quicksort,random,400,56.80,61545.00
standard_quicksort,random,500,78.30,74296.00
standard_quicksort,random,600,87.00,87531.00
standard_quicksort,random,700,143.60,106146.00
standard_quicksort,random,800,129.50,120731.00
standard_quicksort,random,900,147.20,135537.00
standard_quicksort,random,1000,164.70,156665.00
standard_quicksort,random,1100,185.40,174991.00
standard_quicksort,random,1200,214.90,188227.00
standard_quicksort,random,1300,236.60,200347.00
standard_quicksort,random,1400,242.80,214397.00
standard_quicksort,random,1500,267.50,230252.00
standard_quicksort,random,1600,292.20,247498.00
standard_quicksort,random,1700,306.80,262116.00
standard_quicksort,random,1800,334.80,286413.00
standard_quicksort,random,1900,360.90,295119.00
standard_quicksort,random,2000,373.80,309709.00
standard_quicksort,random,2100,448.70,321887.00
standard_quicksort,random,2200,398.50,340124.00
standard_quicksort,random,2300,429.70,358524.00
standard_quicksort,random,2400,462.90,371795.00
standard_quicksort,random,2500,472.50,393522.00
standard_quicksort,random,2600,476.00,399361.00
standard_quicksort,random,2700,516.70,423394.00
standard_quicksort,random,2800,534.40,442342.00
standard_quicksort,random,2900,559.80,457728.00
standard_quicksort,random,3000,575.40,470721.00
standard_quicksort,reverse_sorted,100,10.20,14359.00
standard_quicksort,reverse_sorted,200,19.80,28548.00
standard_quicksort,reverse_sorted,300,30.60,39655.00
standard_quicksort,reverse_sorted,400,45.30,57538.00
standard_quicksort,reverse_sorted,500,49.10,58794.00
standard_quicksort,reverse_sorted,600,65.70,78650.00
standard_quicksort,reverse_sorted,700,78.80,101847.00
standard_quicksort,reverse_sorted,800,101.50,116560.00
standard_quicksort,reverse_sorted,900,92.90,116960.00
standard_quicksort,reverse_sorted,1000,93.20,117220.00
standard_quicksort,reverse_sorted,1100,123.80,136636.00
standard_quicksort,reverse_sorted,1200,127.30,158395.00
standard_quicksort,reverse_sorted,1300,146.00,180488.00
standard_quicksort,reverse_sorted,1400,163.50,205827.00
standard_quicksort,reverse_sorted,1500,181.70,229499.00
standard_quicksort,reverse_sorted,1600,186.90,231752.00
standard_quicksort,reverse_sorted,1700,195.40,235032.00
standard_quicksort,reverse_sorted,1800,189.80,237405.00
standard_quicksort,reverse_sorted,1900,190.00,233465.00
standard_quicksort,reverse_sorted,2000,190.10,235833.00
standard_quicksort,reverse_sorted,2100,201.40,255244.00
standard_quicksort,reverse_sorted,2200,286.30,273428.00
standard_quicksort,reverse_sorted,2300,240.10,301549.00
standard_quicksort,reverse_sorted,2400,256.00,318333.00
standard_quicksort,reverse_sorted,2500,272.20,345551.00
standard_quicksort,reverse_sorted,2600,350.10,370014.00
standard_quicksort,reverse_sorted,2700,308.80,389570.00
standard_quicksort,reverse_sorted,2800,321.40,409699.00
standard_quicksort,reverse_sorted,2900,342.10,434594.00
standard_quicksort,reverse_sorted,3000,365.00,460208.00
standard_quicksort,nearly_sorted,100,9.90,13986.00
standard_quicksort,nearly_sorted,200,21.00,28220.00
standard_quicksort,nearly_sorted,300,27.20,36750.00
standard_quicksort,nearly_sorted,400,45.50,57369.00
standard_quicksort,nearly_sorted,500,46.80,60581.00
standard_quicksort,nearly_sorted,600,62.20,76215.00
standard_quicksort,nearly_sorted,700,77.40,103372.00
standard_quicksort,nearly_sorted,800,91.50,118345.00
standard_quicksort,nearly_sorted,900,100.50,121869.00
standard_quicksort,nearly_sorted,1000,96.90,123664.00
standard_quicksort,nearly_sorted,1100,117.30,142866.00
standard_quicksort,nearly_sorted,1200,125.30,158360.00
standard_quicksort,nearly_sorted,1300,139.90,182050.00
standard_quicksort,nearly_sorted,1400,156.00,200489.00
standard_quicksort,nearly_sorted,1500,179.60,227293.00
standard_quicksort,nearly_sorted,1600,178.60,232079.00
standard_quicksort,nearly_sorted,1700,188.40,238734.00
standard_quicksort,nearly_sorted,1800,189.20,239872.00
standard_quicksort,nearly_sorted,1900,192.00,242927.00
standard_quicksort,nearly_sorted,2000,192.80,242058.00
standard_quicksort,nearly_sorted,2100,214.20,264985.00
standard_quicksort,nearly_sorted,2200,229.60,282645.00
standard_quicksort,nearly_sorted,2300,239.90,307197.00
standard_quicksort,nearly_sorted,2400,250.80,313949.00
standard_quicksort,nearly_sorted,2500,394.00,346588.00
standard_quicksort,nearly_sorted,2600,302.10,365384.00
standard_quicksort,nearly_sorted,2700,307.90,387328.00
standard_quicksort,nearly_sorted,2800,319.10,407156.00
standard_quicksort,nearly_sorted,2900,330.00,427821.00
standard_quicksort,nearly_sorted,3000,347.60,456156.00
standard_quicksort,common_prefix,100,35.20,54151.00
standard_quicksort,common_prefix,200,88.20,148083.00
standard_quicksort,common_prefix,300,138.00,222349.00
standard_quicksort,common_prefix,400,190.40,319476.00
standard_quicksort,common_prefix,500,249.80,425529.00
standard_quicksort,common_prefix,600,298.10,500016.00
standard_quicksort,common_prefix,700,374.50,573849.00
standard_quicksort,common_prefix,800,403.10,686671.00
standard_quicksort,common_prefix,900,494.70,873746.00
standard_quicksort,common_prefix,1000,588.10,891542.00
standard_quicksort,common_prefix,1100,595.70,1003060.00
standard_quicksort,common_prefix,1200,629.00,1070137.00
standard_quicksort,common_prefix,1300,723.50,1236227.00
standard_quicksort,common_prefix,1400,792.60,1357328.00
standard_quicksort,common_prefix,1500,826.10,1439109.00
standard_quicksort,common_prefix,1600,880.00,1516530.00
standard_quicksort,common_prefix,1700,1059.00,1799121.00
standard_quicksort,common_prefix,1800,986.10,1679582.00
standard_quicksort,common_prefix,1900,1072.70,1863785.00
standard_quicksort,common_prefix,2000,1230.80,1908146.00
standard_quicksort,common_prefix,2100,1332.20,2381853.00
standard_quicksort,common_prefix,2200,1314.20,2295630.00
standard_quicksort,common_prefix,2300,1345.50,2344385.00
standard_quicksort,common_prefix,2400,1359.50,2350624.00
standard_quicksort,common_prefix,2500,1536.40,2704740.00
standard_quicksort,common_prefix,2600,1482.70,2576714.00
standard_quicksort,common_prefix,2700,1589.50,2796432.00
standard_quicksort,common_prefix,2800,1589.30,2784894.00
standard_quicksort,common_prefix,2900,1781.90,3162080.00
standard_quicksort,common_prefix,3000,1735.10,3005142.00
standard_mergesort,random,100,17.30,597.00
standard_mergesort,random,200,41.20,1482.00
standard_mergesort,random,300,76.20,2508.00
standard_mergesort,random,400,116.40,3678.00
standard_mergesort,random,500,156.60,4864.00
standard_mergesort,random,600,204.40,6100.00
standard_mergesort,random,700,254.30,7443.00
standard_mergesort,random,800,292.30,8798.00
standard_mergesort,random,900,334.80,10181.00
standard_mergesort,random,1000,385.80,11602.00
standard_mergesort,random,1100,416.50,13005.00
standard_mergesort,random,1200,472.20,14547.00
standard_mergesort,random,1300,523.60,16032.00
standard_mergesort,random,1400,563.90,17618.00
standard_mergesort,random,1500,601.80,19189.00
standard_mergesort,random,1600,654.00,20743.00
standard_mergesort,random,1700,687.40,22329.00
standard_mergesort,random,1800,742.20,23908.00
standard_mergesort,random,1900,786.60,25560.00
standard_mergesort,random,2000,840.60,27157.00
standard_mergesort,random,2100,927.30,28843.00
standard_mergesort,random,2200,953.50,30475.00
standard_mergesort,random,2300,999.60,32199.00
standard_mergesort,random,2400,1063.40,33892.00
standard_mergesort,random,2500,1118.20,35632.00
standard_mergesort,random,2600,1137.00,37354.00
standard_mergesort,random,2700,1173.60,39070.00
standard_mergesort,random,2800,1239.10,40903.00
standard_mergesort,random,2900,1316.50,42598.00
standard_mergesort,random,3000,1354.80,44411.00
standard_mergesort,reverse_sorted,100,15.50,686.00
standard_mergesort,reverse_sorted,200,44.70,1481.00
standard_mergesort,reverse_sorted,300,74.00,2325.00
standard_mergesort,reverse_sorted,400,97.10,3145.00
standard_mergesort,reverse_sorted,500,132.20,3869.00
standard_mergesort,reverse_sorted,600,157.90,4965.00
standard_mergesort,reverse_sorted,700,200.40,5864.00
standard_mergesort,reverse_sorted,800,227.50,6697.00
standard_mergesort,reverse_sorted,900,261.70,7508.00
standard_mergesort,reverse_sorted,1000,295.20,8170.00
standard_mergesort,reverse_sorted,1100,325.10,9332.00
standard_mergesort,reverse_sorted,1200,368.70,10438.00
standard_mergesort,reverse_sorted,1300,396.60,11459.00
standard_mergesort,reverse_sorted,1400,434.90,12385.00
standard_mergesort,reverse_sorted,1500,458.40,13346.00
standard_mergesort,reverse_sorted,1600,507.10,14235.00
standard_mergesort,reverse_sorted,1700,546.70,15213.00
standard_mergesort,reverse_sorted,1800,572.50,15821.00
standard_mergesort,reverse_sorted,1900,619.30,16723.00
standard_mergesort,reverse_sorted,2000,673.70,17348.00
standard_mergesort,reverse_sorted,2100,772.10,18449.00
standard_mergesort,reverse_sorted,2200,765.20,19756.00
standard_mergesort,reverse_sorted,2300,769.30,20890.00
standard_mergesort,reverse_sorted,2400,790.00,22052.00
standard_mergesort,reverse_sorted,2500,833.30,23073.00
standard_mergesort,reverse_sorted,2600,896.40,24160.00
standard_mergesort,reverse_sorted,2700,906.70,25333.00
standard_mergesort,reverse_sorted,2800,953.10,26207.00
standard_mergesort,reverse_sorted,2900,1030.30,27116.00
standard_mergesort,reverse_sorted,3000,1100.00,28152.00
standard_mergesort,nearly_sorted,100,12.10,655.00
standard_mergesort,nearly_sorted,200,32.70,1480.00
standard_mergesort,nearly_sorted,300,52.80,2327.00
standard_mergesort,nearly_sorted,400,77.10,3201.00
standard_mergesort,nearly_sorted,500,91.40,4295.00
standard_mergesort,nearly_sorted,600,113.00,5073.00
standard_mergesort,nearly_sorted,700,136.40,5945.00
standard_mergesort,nearly_sorted,800,156.50,6801.00
standard_mergesort,nearly_sorted,900,188.30,7943.00
standard_mergesort,nearly_sorted,1000,211.60,8959.00
standard_mergesort,nearly_sorted,1100,245.60,9849.00
standard_mergesort,nearly_sorted,1200,275.80,10706.00
standard_mergesort,nearly_sorted,1300,289.20,11558.00
standard_mergesort,nearly_sorted,1400,317.20,12465.00
standard_mergesort,nearly_sorted,1500,347.10,13579.00
standard_mergesort,nearly_sorted,1600,378.60,14422.00
standard_mergesort,nearly_sorted,1700,401.80,15430.00
standard_mergesort,nearly_sorted,1800,414.40,16480.00
standard_mergesort,nearly_sorted,1900,445.20,17481.00
standard_mergesort,nearly_sorted,2000,469.30,18578.00
standard_mergesort,nearly_sorted,2100,503.30,19738.00
standard_mergesort,nearly_sorted,2200,533.00,20487.00
standard_mergesort,nearly_sorted,2300,557.50,21456.00
standard_mergesort,nearly_sorted,2400,590.00,22126.00
standard_mergesort,nearly_sorted,2500,626.50,23250.00
standard_mergesort,nearly_sorted,2600,648.30,24162.00
standard_mergesort,nearly_sorted,2700,677.40,25179.00
standard_mergesort,nearly_sorted,2800,709.90,26169.00
standard_mergesort,nearly_sorted,2900,726.40,27237.00
standard_mergesort,nearly_sorted,3000,762.80,28443.00
standard_mergesort,common_prefix,100,37.70,32747.00
standard_mergesort,common_prefix,200,88.30,77966.00
standard_mergesort,common_prefix,300,149.10,128078.00
standard_mergesort,common_prefix,400,202.00,180117.00
standard_mergesort,common_prefix,500,258.10,236134.00
standard_mergesort,common_prefix,600,316.90,293362.00
standard_mergesort,common_prefix,700,378.30,351698.00
standard_mergesort,common_prefix,800,439.50,410599.00
standard_mergesort,common_prefix,900,501.90,473260.00
standard_mergesort,common_prefix,1000,570.40,534835.00
standard_mergesort,common_prefix,1100,634.10,596868.00
standard_mergesort,common_prefix,1200,703.20,662157.00
standard_mergesort,common_prefix,1300,763.10,725862.00
standard_mergesort,common_prefix,1400,827.20,790443.00
standard_mergesort,common_prefix,1500,905.50,857233.00
standard_mergesort,common_prefix,1600,958.00,919391.00
standard_mergesort,common_prefix,1700,1029.50,990009.00
standard_mergesort,common_prefix,1800,1110.20,1058470.00
standard_mergesort,common_prefix,1900,1190.10,1125585.00
