algorithm,data_type,array_size,run_id,time_us,char_comparisons
standard_quicksort,random,100,1,18,14990
standard_quicksort,random,100,2,14,14990
standard_quicksort,random,100,3,14,14990
standard_quicksort,random,100,4,13,14990
standard_quicksort,random,100,5,13,14990
standard_quicksort,random,100,6,13,14990
standard_quicksort,random,100,7,13,14990
standard_quicksort,random,100,8,11,14990
standard_quicksort,random,100,9,11,14990
standard_quicksort,random,100,10,13,14990
standard_quicksort,random,200,1,34,27671
standard_quicksort,random,200,2,26,27671
standard_quicksort,random,200,3,24,27671
standard_quicksort,random,200,4,36,27671
standard_quicksort,random,200,5,22,27671
standard_quicksort,random,200,6,22,27671
standard_quicksort,random,200,7,22,27671
standard_quicksort,random,200,8,22,27671
standard_quicksort,random,200,9,22,27671
standard_quicksort,random,200,10,22,27671
standard_quicksort,random,300,1,55,42404
standard_quicksort,random,300,2,41,42404
standard_quicksort,random,300,3,36,42404
standard_quicksort,random,300,4,41,42404
standard_quicksort,random,300,5,39,42404
standard_quicksort,random,300,6,52,42404
standard_quicksort,random,300,7,41,42404
standard_quicksort,random,300,8,45,42404
standard_quicksort,random,300,9,34,42404
standard_quicksort,random,300,10,34,42404
standard_quicksort,random,400,1,70,61545
standard_quicksort,random,400,2,68,61545
standard_quicksort,random,400,3,55,61545
standard_quicksort,random,400,4,56,61545
standard_quicksort,random,400,5,55,61545
standard_quicksort,random,400,6,54,61545
standard_quicksort,random,400,7,54,61545
standard_quicksort,random,400,8,54,61545
standard_quicksort,random,400,9,54,61545
standard_quicksort,random,400,10,48,61545
standard_quicksort,random,500,1,94,74296
standard_quicksort,random,500,2,83,74296
standard_quicksort,random,500,3,67,74296
standard_quicksort,random,500,4,64,74296
standard_quicksort,random,500,5,68,74296
standard_quicksort,random,500,6,83,74296
standard_quicksort,random,500,7,72,74296
standard_quicksort,random,500,8,74,74296
standard_quicksort,random,500,9,94,74296
standard_quicksort,random,500,10,84,74296
standard_quicksort,random,600,1,109,87531
standard_quicksort,random,600,2,92,87531
standard_quicksort,random,600,3,98,87531
standard_quicksort,random,600,4,90,87531
standard_quicksort,random,600,5,84,87531
standard_quicksort,random,600,6,85,87531
standard_quicksort,random,600,7,83,87531
standard_quicksort,random,600,8,73,87531
standard_quicksort,random,600,9,78,87531
standard_quicksort,random,600,10,78,87531
standard_quicksort,random,700,1,132,106146
standard_quicksort,random,700,2,123,106146
standard_quicksort,random,700,3,123,106146
standard_quicksort,random,700,4,111,106146
standard_quicksort,random,700,5,193,106146
standard_quicksort,random,700,6,197,106146
standard_quicksort,random,700,7,198,106146
standard_quicksort,random,700,8,175,106146
standard_quicksort,random,700,9,94,106146
standard_quicksort,random,700,10,90,106146
standard_quicksort,random,800,1,153,120731
standard_quicksort,random,800,2,157,120731
standard_quicksort,random,800,3,140,120731
standard_quicksort,random,800,4,122,120731
standard_quicksort,random,800,5,122,120731
standard_quicksort,random,800,6,122,120731
standard_quicksort,random,800,7,129,120731
standard_quicksort,random,800,8,115,120731
standard_quicksort,random,800,9,117,120731
standard_quicksort,random,800,10,118,120731
standard_quicksort,random,900,1,168,135537
standard_quicksort,random,900,2,157,135537
standard_quicksort,random,900,3,143,135537
standard_quicksort,random,900,4,138,135537
standard_quicksort,random,900,5,135,135537
standard_quicksort,random,900,6,173,135537
